session_id,job_ids,actions
38,"[1963, 1955, 3705, 2706, 2984, 401, 2933, 1209, 2696, 415, 1599]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
39,"[486, 1440, 1296, 622, 3187, 1648, 1645, 1017, 661, 3412, 1687, 559]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
40,"[1643, 490, 943, 953]","['view', 'view', 'view', 'view']"
41,"[970, 4604, 4647, 1245, 550, 2583, 1278, 2534, 1043, 3444, 641, 732, 599]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'apply', 'apply', 'apply']"
42,"[2530, 209, 1255, 2610, 2582, 393]","['view', 'view', 'view', 'view', 'view', 'apply']"
43,"[1052, 934, 926, 907, 889, 879, 828]","['view', 'view', 'view', 'view', 'view', 'apply', 'view']"
44,"[823, 804, 809, 785, 59, 702, 688, 378, 327, 224]","['view', 'view', 'apply', 'apply', 'view', 'apply', 'apply', 'view', 'apply', 'apply']"
45,"[169, 173, 170, 20]","['apply', 'apply', 'apply', 'view']"
46,"[5031, 295, 1810, 1882, 289, 4130, 1181, 4276]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
47,"[1008, 5200, 1059, 5599, 332, 1216, 5347, 5406]","['view', 'view', 'view', 'view', 'view', 'apply', 'apply', 'apply']"
48,"[5181, 5182, 5263, 5093, 5137, 4698]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
49,"[4880, 2365, 4126, 1822, 533, 1196, 37, 1190, 3461, 4637, 583, 1807]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
50,"[1852, 3093, 151, 1184, 286, 4710, 4879, 2647, 144, 2644, 3928, 5452, 579, 214]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
51,"[2805, 215, 1069, 5405, 2890, 4642]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
52,"[716, 1767, 262, 28, 258, 655, 256, 236, 4660, 5017]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'view', 'apply']"
53,"[1465, 3054, 4787, 2495, 1758, 1041, 1034, 760, 24, 1201, 461]","['view', 'view', 'apply', 'view', 'view', 'apply', 'view', 'apply', 'view', 'view', 'view']"
54,"[36, 37, 34, 35, 33, 32, 31, 29, 30, 27, 26, 25, 23, 24]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
55,"[7227, 6601, 7514, 7512, 7513, 7510, 7511, 7441, 7437, 7336, 7433, 7509, 7126]","['view', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
56,"[1243, 5943, 58, 4697, 701, 77, 498, 502, 5584, 5874, 5524, 129, 6063, 505, 230]","['apply', 'apply', 'view', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
57,"[263, 991, 68, 4586]","['apply', 'apply', 'apply', 'apply']"
58,"[24, 1758, 1910, 247]","['apply', 'view', 'apply', 'apply']"
59,"[990, 191, 87, 12, 162]","['view', 'view', 'view', 'view', 'apply']"
60,"[4298, 736, 5533, 1209, 2238, 3889]","['view', 'view', 'view', 'view', 'view', 'view']"
61,"[268, 1273, 490, 677, 1572]","['view', 'view', 'view', 'apply', 'apply']"
62,"[3461, 4710, 1152, 606]","['apply', 'apply', 'apply', 'apply']"
63,"[2975, 164, 566, 447, 538, 4383, 1313, 1320, 1316, 1322, 1319, 1279, 755]","['apply', 'apply', 'apply', 'view', 'view', 'view', 'apply', 'view', 'apply', 'apply', 'apply', 'view', 'apply']"
64,"[56, 550, 3261, 969, 1098, 982, 41]","['view', 'view', 'view', 'view', 'view', 'view', 'view']"
65,"[2232, 767, 97, 417]","['view', 'view', 'view', 'view']"
66,"[534, 535, 530]","['view', 'view', 'view']"
67,"[531, 528, 151, 145, 143, 140]","['view', 'view', 'view', 'view', 'view', 'view']"
68,"[518, 515, 513, 508, 509, 506, 29]","['view', 'view', 'view', 'view', 'view', 'view', 'view']"
69,"[504, 497, 532, 533, 154, 278, 147, 521]","['view', 'view', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
70,"[142, 517, 138, 125, 505, 276, 105, 262, 103, 502, 501, 263, 57, 498]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
71,"[210, 205, 203]","['apply', 'view', 'view']"
72,"[4290, 695, 903, 4646, 4645, 4629, 1712, 366, 1460, 519]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'apply', 'apply']"
73,"[971, 2407, 4492, 4585, 511, 1692, 153, 4572, 372, 707]","['apply', 'apply', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
74,"[3637, 477, 2895, 1224, 1170]","['view', 'view', 'view', 'view', 'view']"
75,"[1343, 2482, 3433, 522]","['view', 'view', 'view', 'view']"
76,"[4331, 1115, 2911, 373, 764]","['view', 'view', 'view', 'view', 'view']"
77,"[2420, 526, 1565]","['view', 'view', 'view']"
78,"[479, 1111, 2417, 1428, 1161, 952, 1025]","['view', 'view', 'view', 'view', 'view', 'view', 'view']"
79,"[332, 594, 529, 179]","['view', 'view', 'view', 'view']"
80,"[60, 54, 57, 58]","['view', 'view', 'apply', 'apply']"
81,"[966, 5112, 4889, 4691, 4371, 5228, 141, 138, 714, 110, 5400]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'apply']"
82,"[5223, 4507, 3736, 3935, 740, 166, 898, 131, 873, 129, 5341, 103]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
83,"[1016, 86, 356, 46, 411]","['apply', 'apply', 'apply', 'apply', 'view']"
84,"[48, 370, 198, 197]","['view', 'view', 'view', 'apply']"
85,"[742, 966, 964, 887, 960, 528, 958, 959, 144, 88, 965, 963, 961]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'apply', 'apply', 'apply']"
86,"[962, 891, 154, 820, 724, 135, 137, 132, 956, 955, 954, 263, 949]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
87,"[251, 194, 193]","['view', 'view', 'view']"
88,"[1013, 1392, 5012, 2472, 2180, 4277, 5865, 1059, 1943, 1412, 2932]","['apply', 'apply', 'apply', 'apply', 'apply', 'view', 'view', 'view', 'view', 'view', 'view']"
89,"[4196, 5713, 2108, 1451, 2186, 23, 2694, 33, 164, 32]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'apply', 'view']"
90,"[2402, 2812, 3268, 2172, 3264, 370, 1804]","['view', 'view', 'view', 'view', 'view', 'view', 'view']"
91,"[925, 2582, 1043, 565, 1814, 161, 1829]","['view', 'view', 'view', 'view', 'view', 'view', 'view']"
92,"[38, 954, 174, 5182, 2349, 2346, 58, 29, 2644, 3756]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
93,"[3736, 3110, 1620, 5497, 2767, 236, 1998, 1106, 5452]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
94,"[1091, 260, 876, 53, 3299, 2495, 4799, 63, 158]","['view', 'view', 'view', 'view', 'view', 'apply', 'view', 'view', 'view']"
95,"[4157, 4643, 4643, 3194, 2539, 466, 440]","['view', 'view', 'view', 'view', 'apply', 'apply', 'view']"
96,"[2510, 394, 754, 1470]","['view', 'view', 'view', 'apply']"
97,"[133, 130, 34, 127]","['view', 'view', 'view', 'view']"
98,"[376, 1425, 1424]","['view', 'view', 'view']"
99,"[2357, 3143, 2452, 3434, 406, 2541]","['apply', 'apply', 'apply', 'apply', 'view', 'apply']"
100,"[2776, 2470, 2547, 3109, 4112, 405, 195]","['apply', 'apply', 'apply', 'apply', 'apply', 'view', 'view']"
101,"[4744, 3736, 900, 741, 2240, 1293, 730, 138, 1077, 874]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
102,"[518, 515, 865, 710, 708, 100, 849, 5500, 310, 734, 733, 731, 472]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
103,"[1474, 5498, 700, 94, 1759, 714, 4555, 4594, 416, 40, 596, 697, 4678, 51]","['apply', 'apply', 'apply', 'apply', 'view', 'view', 'view', 'apply', 'apply', 'apply', 'view', 'view', 'view', 'view']"
104,"[1483, 1764, 1442, 4786, 833, 1475, 783, 846, 709, 265]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
105,"[474, 193, 64, 418, 53]","['view', 'view', 'view', 'view', 'view']"
106,"[63, 390, 55, 103, 84, 112, 131, 138, 126]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
107,"[174, 171, 2489, 155, 187]","['view', 'view', 'view', 'view', 'view']"
108,"[1678, 2986, 1735, 1666, 630, 1963, 1942, 493, 2985]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
109,"[2325, 1683, 1674, 2706, 1603, 2984, 2331, 2581, 2936, 2585, 2933]","['view', 'apply', 'apply', 'apply', 'apply', 'apply', 'view', 'view', 'view', 'view', 'view']"
110,"[746, 2439, 2487, 2562, 2556, 2534, 1643, 1278, 2530]","['view', 'view', 'view', 'view', 'view', 'view', 'apply', 'view', 'view']"
111,"[2610, 2479, 2500, 1028, 550, 1645, 784]","['view', 'view', 'view', 'view', 'view', 'view', 'apply']"
112,"[1486, 185, 1009, 2468, 1446, 1444, 1628, 164, 1687]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
113,"[1333, 244, 1394, 1043, 1042, 1245, 1232, 1223, 1255, 970, 967]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
114,"[953, 943, 935, 808, 322]","['view', 'view', 'view', 'view', 'view']"
115,"[911, 559, 732, 661]","['view', 'view', 'view', 'view']"
116,"[652, 641, 599, 486, 442, 415, 408, 401]","['view', 'apply', 'view', 'view', 'apply', 'view', 'view', 'view']"
117,"[387, 622, 323, 209, 2976]","['view', 'view', 'view', 'view', 'view']"
118,"[4023, 2339, 909, 2680, 902, 1607, 1410]","['view', 'view', 'view', 'view', 'view', 'view', 'view']"
119,"[1195, 3033, 2553]","['view', 'view', 'view']"
120,"[4517, 918, 2243, 1066, 912, 908, 989, 41, 899, 3060, 4573]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
121,"[1340, 4715, 3122, 1018, 4080, 3315, 2793, 2968, 56, 1615, 368, 1289, 1354]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'view', 'view', 'view', 'apply', 'view', 'view', 'view']"
122,"[1240, 2211, 2426, 325, 225]","['view', 'view', 'view', 'view', 'view']"
123,"[138, 2672, 2521]","['view', 'apply', 'view']"
124,"[1906, 1160, 621, 2457]","['view', 'view', 'apply', 'view']"
125,"[2338, 1709, 1579, 1694, 602, 1609, 2687]","['apply', 'apply', 'view', 'view', 'view', 'view', 'view']"
126,"[1428, 518, 2113, 629, 5390]","['view', 'view', 'view', 'view', 'apply']"
127,"[4845, 4413, 1128, 1121, 217, 455, 1119, 4593, 1494, 479, 477, 480, 1020, 1224]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'view', 'view', 'apply', 'apply', 'view', 'view']"
128,"[933, 1645, 3230, 1205, 253]","['view', 'view', 'apply', 'apply', 'apply']"
129,"[923, 4300, 800, 799]","['view', 'view', 'view', 'view']"
130,"[2651, 2124, 624, 3053, 765, 4371, 616, 1271]","['view', 'view', 'view', 'view', 'apply', 'apply', 'apply', 'apply']"
131,"[1795, 1251, 1790, 266]","['apply', 'apply', 'apply', 'apply']"
132,"[961, 820, 2928, 50, 1293, 166, 2863, 135, 2065]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
133,"[505, 502, 2023, 705, 263, 1546, 85, 701, 78, 58, 849, 990, 4696, 3590]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
134,"[80, 778, 1335, 2847, 4586]","['apply', 'view', 'view', 'view', 'view']"
135,"[1544, 141, 72, 2557, 170, 1406]","['view', 'view', 'view', 'view', 'view', 'view']"
136,"[1887, 1493, 3220, 1276, 88, 4681, 988, 4751, 23]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
137,"[646, 418, 53, 1256, 1020, 739, 162, 791, 242, 242, 621, 356]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
138,"[4889, 4839, 543, 1094, 3095, 718, 433, 538, 575, 2484, 267]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
139,"[711, 709, 1482, 1364, 963, 435, 724]","['view', 'view', 'apply', 'apply', 'apply', 'apply', 'apply']"
140,"[929, 536, 1468, 719, 509, 88, 85, 478, 268, 977, 56, 566, 266, 194, 46]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'view', 'view', 'apply', 'view', 'view', 'apply', 'view', 'apply', 'view']"
141,"[221, 964, 4698, 2346, 1526, 35, 2579, 3088, 293, 2491, 5462, 1882, 3093, 166]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
142,"[167, 1863, 217, 4753, 218, 4879, 2186, 2683, 285]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
143,"[216, 137, 1911, 5515, 873]","['view', 'view', 'view', 'view', 'view']"
144,"[2517, 579, 2805, 2113, 214, 125, 1592, 1593, 276, 118, 3505]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
145,"[1510, 3026, 1416, 117, 3018, 2078, 2515, 273, 1113, 4085, 268, 29]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
146,"[262, 4878, 497, 26, 991]","['view', 'view', 'view', 'view', 'view']"
147,"[2499, 4571, 4736, 5194, 1758, 876, 809, 241, 530, 2007, 210]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'apply', 'apply', 'apply']"
148,"[144, 213, 4762, 5035, 37, 1835, 90, 1465, 716, 2559, 270, 215, 850]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
149,"[681, 474, 332]","['view', 'view', 'view']"
150,"[3554, 1496, 1356, 479, 2911, 4331, 1348]","['view', 'view', 'view', 'view', 'view', 'view', 'view']"
151,"[3250, 5395, 4387, 919, 186, 2671, 523, 1126, 3477, 764, 1969, 1589]","['view', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
152,"[373, 3468, 3251]","['apply', 'apply', 'apply']"
153,"[519, 1115, 3182, 2768, 2427]","['apply', 'apply', 'apply', 'apply', 'apply']"
154,"[1037, 2826, 371, 261, 1632, 372]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
155,"[3017, 4583, 4891, 2407, 1712, 367, 366, 139, 3748, 4370, 3946, 15]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'view', 'view']"
156,"[7296, 2765, 7293, 7291, 7292, 7098, 6807, 7284, 7283, 7282, 4597, 4260, 5532]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
157,"[6712, 7280, 1250, 1945, 766, 6782, 7279, 6759, 591, 7294]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'apply', 'apply']"
158,"[7289, 7295, 7288, 7290, 7286]","['apply', 'apply', 'apply', 'apply', 'apply']"
159,"[6827, 7287, 6566, 7285, 4340, 7281, 3825, 7252, 6124, 7251]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'view', 'apply', 'view']"
160,"[582, 581, 587, 6632]","['view', 'apply', 'view', 'view']"
161,"[7250, 7220, 6006, 5881, 7148, 7145, 7144, 1718, 1385, 569, 577]","['apply', 'view', 'view', 'apply', 'view', 'view', 'apply', 'view', 'view', 'apply', 'view']"
162,"[6916, 6797, 6678, 6639, 6602, 42]","['view', 'view', 'apply', 'view', 'view', 'view']"
163,"[911, 558, 5737, 554, 10]","['view', 'apply', 'view', 'apply', 'view']"
164,"[1491, 1230, 225, 555, 1618, 1633, 1006, 872]","['apply', 'apply', 'view', 'view', 'view', 'view', 'apply', 'view']"
165,"[551, 1621, 938, 1727, 44, 400, 4952, 469, 1242, 1725, 585, 553, 380]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
166,"[365, 379, 376, 374, 377, 375, 371, 373, 372, 368]","['view', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
167,"[3377, 1702, 8, 2220, 1700, 2301, 1607, 4241, 3948]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'apply', 'apply']"
168,"[1127, 376, 1128, 1247, 1126, 1118, 455, 868, 1237, 445, 1593]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
169,"[214, 1113, 516, 1109, 153, 1105, 1165, 477, 4578, 1055, 548, 413, 414]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'view']"
170,"[1400, 472, 100]","['view', 'view', 'view']"
171,"[4570, 1675, 3878, 3877, 1658, 316]","['view', 'view', 'apply', 'apply', 'apply', 'apply']"
172,"[441, 1620, 302]","['apply', 'apply', 'apply']"
173,"[1505, 10, 4702, 388]","['apply', 'apply', 'apply', 'apply']"
174,"[403, 400, 397, 398, 396, 394, 391, 402, 395, 392, 393]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'apply', 'apply', 'apply', 'apply']"
175,"[6215, 1934, 4870, 4208, 3080, 2218]","['view', 'view', 'view', 'view', 'view', 'view']"
176,"[2692, 5118, 2543]","['view', 'view', 'view']"
177,"[1925, 3885, 575, 5557, 4404, 69, 3123, 1449, 195, 1846]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
178,"[494, 492, 490, 489, 491, 493, 404]","['view', 'view', 'view', 'view', 'view', 'view', 'view']"
179,"[428, 677, 674, 672, 670, 671, 669, 664, 663, 662, 678, 673, 676]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'apply', 'apply', 'apply']"
180,"[123, 668, 665, 645, 612, 538, 447]","['apply', 'apply', 'apply', 'view', 'view', 'view', 'view']"
181,"[4326, 2167, 1323, 3311, 541]","['view', 'view', 'view', 'view', 'view']"
182,"[1303, 2833, 538, 1346, 4165, 4206]","['view', 'view', 'view', 'view', 'apply', 'view']"
183,"[204, 262, 96, 210, 689, 224, 1549, 1823, 688, 92]","['view', 'view', 'view', 'view', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
184,"[1416, 75, 59, 702]","['apply', 'apply', 'view', 'view']"
185,"[4889, 4687, 6121, 1102, 1421, 2240, 929, 2748, 2996, 518, 129, 5955, 5240, 5251]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
186,"[514, 1482, 6120, 6045, 2164, 5960, 4852, 840, 54]","['view', 'apply', 'apply', 'apply', 'apply', 'view', 'view', 'view', 'view']"
187,"[367, 2858, 287]","['apply', 'view', 'view']"
188,"[589, 586, 583, 584, 166, 578, 579, 575, 572, 9, 431]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
189,"[24, 164, 73, 565, 566]","['view', 'view', 'view', 'view', 'view']"
190,"[428, 426, 425, 41, 422, 429, 423]","['view', 'view', 'view', 'view', 'view', 'apply', 'apply']"
191,"[964, 4337, 900, 998, 284, 129, 5341, 3877, 1560, 898, 291, 1363, 166, 715]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
192,"[132, 498, 505, 839, 841, 644, 458, 701, 1546, 5324, 249, 666, 205, 474]","['apply', 'apply', 'apply', 'view', 'view', 'view', 'apply', 'view', 'view', 'apply', 'apply', 'apply', 'view', 'view']"
193,"[2463, 88, 788, 729, 683, 455]","['view', 'view', 'view', 'view', 'view', 'view']"
194,"[964, 130, 885, 2255, 434, 135, 282, 515]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
195,"[2516, 120, 716, 269]","['view', 'view', 'view', 'view']"
196,"[842, 2772, 963]","['view', 'apply', 'apply']"
197,"[533, 174, 2579, 154, 531, 284, 793, 138]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
198,"[131, 132, 129, 2113, 1069, 270, 502, 267, 1773, 701, 76, 252, 64]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
199,"[1409, 411, 103]","['apply', 'apply', 'view']"
200,"[162, 118, 518, 112, 807, 1968]","['apply', 'view', 'view', 'view', 'apply', 'apply']"
201,"[1263, 949, 53]","['view', 'apply', 'view']"
202,"[418, 1201, 1099, 760, 1034, 171, 1003, 184, 155, 24, 241, 176, 876]","['view', 'apply', 'apply', 'apply', 'apply', 'view', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
203,"[177, 1418, 166, 29, 31, 689, 279, 276]","['view', 'view', 'apply', 'apply', 'apply', 'apply', 'apply', 'view']"
204,"[125, 956, 448]","['apply', 'apply', 'view']"
205,"[2386, 319, 1711, 304]","['view', 'view', 'view', 'view']"
206,"[302, 1635, 1636]","['view', 'view', 'view']"
207,"[1634, 4676, 313, 1653, 1652, 312, 4599, 4765, 4528, 412, 4702, 3251]","['view', 'view', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'view', 'apply', 'apply', 'view']"
208,"[457, 482, 500, 111, 391, 481, 220, 496, 314, 451, 465]","['view', 'view', 'apply', 'apply', 'apply', 'apply', 'apply', 'view', 'view', 'view', 'apply']"
209,"[7218, 7216, 7217, 7109, 7213, 6152, 5359, 5134, 4682]","['view', 'view', 'view', 'view', 'view', 'view', 'view', 'view', 'view']"
210,"[6132, 2271, 6135, 1809, 6734, 7219, 7214, 7215, 7035, 6830]","['view', 'view', 'view', 'view', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']"
211,"[7212, 6199, 6909, 6084, 4006, 7060, 5113, 2516, 5715, 4817, 284, 6683, 701, 3453]","['apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'view', 'view']"
